"id","member_id","funded_amnt","term_m","int_rate","installment","emp_length","annual_inc","dti","revol_util"
"118533",117783,2500,36,0.0964,80.26,0,75000,20,0.038
"118823",118026,2500,36,0.128,84,0,32000,20,0.351
"119043",119040,15450,36,0.1122,507.46,2,40000,13.5,0.343
"120215",118760,4000,36,0.0743,124.31,0,40000,3.45,0.11
"120374",119635,2000,36,0.087,63.32,0,70000,6.07,0.198
"120525",120227,4000,36,0.1091,130.79,1,18000,18,0.796
"121426",121423,3000,36,0.0775,93.67,15,125000,2.14,0.01
"121530",121527,3000,36,0.0775,93.67,9,50000,5.35,0.007
"121535",121373,2800,36,0.087,88.65,0,120000,15,0.149
"121568",121574,4000,36,0.0964,128.41,0,1e+05,15,0.149
"121824",121808,3000,36,0.087,94.98,5,62000,12.23,0.307
"122070",120407,5400,36,0.1217,179.8,1,35000,7.1,0.362
"122404",122398,12750,36,0.1533,444.05,1,60000,19.52,0.688
"122637",104675,4000,36,0.0775,124.89,1,61800,3.46,0.171
"122718",122713,18500,36,0.1533,644.3,1,90000,5.24,0.622
"123228",120995,20000,36,0.0964,642.02,0,96000,2.86,0.425
"123230",80353,3175,36,0.1154,104.76,0,15000,12.24,0.551
"124436",124430,4800,36,0.1122,157.66,5,30000,12.36,0.861
"125671",125668,12125,36,0.087,383.87,15,150000,4.8,0.391
"125897",124159,6625,36,0.1122,217.6,2,88000,18,0.261
"126213",126209,9500,36,0.0807,297.99,2,63000,3.49,0.092
"126215",125654,5000,36,0.0775,156.11,0,45000,5,0.056
"126287",125787,10000,36,0.1154,329.95,9,225000,20,0.448
"126392",125914,10000,36,0.0807,313.67,0,173000,0.72,0.056
"126776",126773,9500,36,0.0807,297.99,2,90000,2.44,0.096
"126788",126782,7500,36,0.0933,239.65,6,93000,9.66,0
"127213",85483,2000,36,0.0712,61.87,15,118000,0.43,0.185
"127353",127345,2850,36,0.1186,94.47,3,45000,2.8,0.75
"127472",127460,2125,36,0.1501,73.68,0,96000,16.89,0
"127504",127500,10000,36,0.0807,313.67,6,150000,5.84,0.037
"127531",127525,17000,36,0.0933,543.2,15,75000,9.55,0.166
"127719",127716,10000,36,0.0807,313.67,3,85000,3.11,0.037
"127830",127824,8000,36,0.1217,266.37,9,70000,10.2,0.395
"128635",127807,6500,36,0.1028,210.6,0,45000,5.87,0.422
"128881",128775,7000,36,0.1249,234.15,0,23000,5.01,0.819
"129745",129716,10000,36,0.1028,323.99,3,120000,14.4,0.775
"130512",130019,7250,36,0.1059,235.96,5,57000,7.22,0.773
"130735",130725,10250,36,0.1438,352.22,4,72000,17.83,0.065
"130907",130904,3775,36,0.0743,117.31,7,120000,0,0
"130986",130983,2100,36,0.0712,64.96,0,110000,0.22,0.003
"131223",129367,20000,36,0.1565,699.69,6,92000,1.53,0.564
"131387",113921,6000,36,0.1059,195.27,2,19000,8.15,0.861
"131618",131612,9000,36,0.1122,295.59,0,32400,22.15,0.458
"131649",131639,6625,36,0.1122,217.59,3,50000,18.38,0.024
"131782",131769,7725,36,0.1375,263.09,0,62200,9.8,0.81
"132062",130915,7200,36,0.1467,248.43,3,57000,20.76,0.691
"132172",132154,6000,36,0.1028,194.4,0,87300,10.6,0.639
"132892",132889,9000,36,0.1249,301.04,8,39000,5.08,0.629
"132946",132940,5275,36,0.0743,163.92,9,85000,2.64,0.16
"133301",133259,4650,36,0.1028,150.66,15,45600,3.26,0.35
"133685",133664,6625,36,0.1122,217.59,3,57100,13.77,0.957
"134436",134417,2525,36,0.1312,85.23,0,40000,20.67,0.305
"135201",135198,10000,36,0.1122,328.43,8,30000,20.4,0
"135594",135591,5275,36,0.0807,165.47,1,55000,12,0.192
"136226",136223,4300,36,0.1091,140.6,1,36000,9.87,0.44
"136316",136313,3025,36,0.1028,98.01,0,90000,9.13,0.978
"136491",136485,5000,36,0.1217,166.48,0,10000,0,0.547
"136634",136631,8500,36,0.1249,284.32,8,85000,6.38,0.12
"137042",136922,5650,36,0.1438,194.15,2,480000,2.4,0.604
"137106",137103,4275,36,0.1028,138.51,0,31000,24.81,0.246
"137271",136588,2100,36,0.1249,70.25,0,12500,14.4,0.916
"137965",137952,8000,36,0.0838,252.1,0,105000,9.71,0.447
"138557",138075,8275,36,0.0901,263.19,15,120000,12.16,0.299
"138568",138553,3275,36,0.0933,104.65,1,62000,3.83,0.419
"139057",139053,5500,36,0.0807,172.53,6,54000,6.29,0.689
"139657",139245,1200,36,0.0996,38.7,1,32000,1.13,0.766
"139790",139779,3000,36,0.1249,100.35,0,29120,12.77,0.515
"139968",139887,10000,36,0.128,335.98,2,36400,18.92,0.504
"139980",139977,5000,36,0.1091,163.49,1,39000,11.78,0.334
"140036",140027,1000,36,0.0996,32.25,1,35000,5.83,0.03
"140452",140448,3000,36,0.0996,96.75,1,18000,15.4,0.404
"140561",140555,2225,36,0.1059,72.42,2,60000,8.14,0.62
"140687",139696,2825,36,0.0964,90.68,3,70000,18,0.1
"140900",140897,8275,36,0.0807,259.58,9,49000,9.89,0.171
"141041",141022,5275,36,0.0964,169.32,0,70000,17.57,0.38
"141676",141648,6225,36,0.1154,205.4,0,45000,17.76,0.232
"141774",141767,4800,36,0.1312,162.01,8,85000,16.87,0.543
"142281",142269,7000,36,0.1028,226.8,2,55400,10.05,0.338
"142608",74724,5000,36,0.1059,162.73,0,15000,24.4,0
"142618",139881,4800,36,0.1154,158.38,0,25000,18.19,0.818
"142734",142718,25000,36,0.0901,795.11,15,57000,8.93,0.005
"142790",142781,4925,36,0.0996,158.83,15,84000,4.84,0.501
"143102",143098,3000,36,0.1028,97.2,0,38000,19.93,0.965
"143128",128262,8000,36,0.1154,263.97,1,50000,8.04,0.045
"143566",143201,12375,36,0.1091,404.62,3,46713,16.39,0.399
"144579",144575,9850,36,0.0775,307.53,2,70000,9.09,0.045
"144635",144623,25000,36,0.128,839.95,2,75000,24.85,0.747
"146564",138910,8275,36,0.1059,269.31,4,109000,24.01,0.712
"146641",146626,8000,36,0.1186,265.18,2,52000,11.31,0.743
"146671",146655,25000,36,0.0964,802.47,0,78000,0.8,0.221
"146844",146834,15450,36,0.1091,505.16,7,120000,16.97,0.445
"148473",148467,10000,36,0.0901,318.05,0,275000,2.97,0.802
"149575",149552,10000,36,0.0838,315.12,0,30000,4.2,0.19
"149754",149751,4000,36,0.1091,130.79,0,14400,8.92,0.613
"150940",150893,7000,36,0.1059,227.82,3,63500,8.5,0.79
"151587",151580,19950,36,0.0996,643.36,15,116000,13.07,0.829
"151607",151590,1500,36,0.147,51.78,1,25000,3.84,0.619
"151621",151597,18000,36,0.0901,572.48,15,41000,15.37,0.185
"152291",152282,4800,36,0.0775,149.87,0,21000,6.34,0.255
"152663",152635,3000,36,0.0996,96.75,2,62000,11.98,0.832
"153022",153018,3000,36,0.0712,92.8,5,93000,0,0.012
"153054",152600,5875,36,0.1091,192.09,7,66000,19.82,0.895
"153235",147832,18000,36,0.1154,593.92,2,27000,10.8,0.755
"153434",153428,12000,36,0.1091,392.36,0,35000,15.74,0.545
"154141",154129,5000,36,0.0775,156.11,7,52000,9.55,0.073
"154154",151536,4800,36,0.1028,155.52,1,35000,7.51,0.687
"154286",154264,15000,36,0.1028,485.99,0,88000,11.95,0.947
"154305",154295,3600,36,0.1028,116.64,1,30000,7.88,0.717
"154776",154761,6800,36,0.1122,223.34,15,51000,18.68,0.879
"155780",155777,4800,36,0.0775,149.87,2,20000,10.26,0.304
"156021",155549,6400,36,0.1154,211.17,5,95000,1.83,0.232
"156417",156396,6000,36,0.0743,186.45,15,68686,6.11,0.056
"156868",156838,24750,36,0.0933,790.86,4,60000,0.82,0.068
"157169",157162,25000,36,0.0901,795.11,15,616000,3.83,0.066
"157768",157765,4000,36,0.087,126.65,1,44000,18.71,0.126
"158289",158286,9000,36,0.1091,294.27,0,80000,17.17,0.823
"158706",158450,12375,36,0.1091,404.62,2,80000,9.23,0.965
"159468",154318,12000,36,0.1186,397.77,2,150000,20.48,0.516
"159665",159644,5750,36,0.0743,178.68,0,95000,1.2,0.003
"159713",159659,900,36,0.1028,29.16,3,12000,16.7,0.656
"161187",160991,12950,36,0.0996,417.62,0,92000,6.48,0.238
"163627",163621,4000,36,0.1059,130.18,3,62000,17.81,0.685
"163758",163445,3000,36,0.1122,98.53,15,32904,22.79,0.853
"164346",163835,500,36,0.0807,15.69,0,18000,4.27,0
"164741",164738,16000,36,0.1091,523.14,0,2e+05,10.7,0.737
"164792",153157,17600,36,0.087,557.23,1,153000,0.12,0.05
"166437",166419,9600,36,0.1122,315.3,1,42500,14.6,0.042
"166534",163941,16000,36,0.1154,527.93,4,44400,12.16,0.577
"166546",166498,3000,36,0.0743,93.23,15,72000,11.18,0.296
"166683",163526,6500,36,0.0775,202.94,15,48000,13.53,0.089
"166747",166429,5000,36,0.1186,165.74,6,40000,7.02,0.758
"167189",167147,4900,36,0.1028,158.76,15,44000,15.3,0.238
"167205",167144,15000,36,0.1028,485.99,1,50000,11.88,0.337
"167584",167573,10000,36,0.0996,322.49,1,72500,10.28,0.986
"167645",163382,6000,36,0.087,189.97,3,24000,19.45,0.4
"167846",166657,11300,36,0.1217,376.24,8,33600,23.96,0.49
"168100",167970,18000,36,0.1217,599.33,3,110244,18.3,0.814
"168190",168175,3975,36,0.1217,132.35,15,27000,23.2,0.392
"168222",168212,25000,36,0.1186,828.69,2,52000,9.74,0.605
"169044",153468,18500,36,0.1091,604.88,2,52000,17.56,0.43
"169254",168673,17000,36,0.087,538.23,1,55900,11.51,0.481
"169354",169334,5400,36,0.0933,172.55,1,42000,16.09,0.612
"169453",157525,18500,36,0.1091,604.88,3,36000,4.67,0.002
"169525",142952,9000,36,0.0996,290.24,8,38000,3.38,0.551
"169793",164864,16000,36,0.1186,530.36,0,86400,15.1,0.048
"170488",165737,5000,36,0.087,158.31,2,24000,6.15,0.253
"170528",165069,12000,36,0.1059,390.54,1,30000,19.84,0.719
"170929",170462,9000,36,0.1249,301.04,9,52000,4.98,0.726
"171220",170849,20000,36,0.1154,659.91,0,96000,17.81,0
"171298",171282,7000,36,0.0743,217.52,0,43000,1.65,0.095
"172644",172641,12000,36,0.1028,388.79,2,97000,5.58,0.3
"172802",171004,5000,36,0.087,158.31,15,48000,0.38,0.073
"173029",173017,9600,36,0.1217,319.64,4,60000,19.28,0.917
"173981",173944,3200,36,0.1028,103.68,15,75000,9.7,0.453
"174377",174280,4800,36,0.0964,154.08,6,60000,12.94,0.099
"175056",174986,20000,36,0.1059,650.9,0,108000,11.96,0.977
"175147",175123,2400,36,0.1375,81.74,7,47000,24.08,0.758
"175193",173899,7500,36,0.0901,238.54,1,19440,10.37,0.437
"175582",174945,10000,36,0.128,335.98,2,58800,7.51,0.806
"176062",176043,2800,36,0.1217,93.23,7,45000,19.19,0.44
"176206",176187,3000,36,0.0933,95.87,4,36600,2.69,0.332
"176610",152731,2975,36,0.0996,95.94,0,25000,14.16,0.337
"176942",176612,16500,36,0.128,554.37,0,62000,19.22,0.695
"176995",176989,25000,36,0.1438,859.07,1,80000,20.79,0.615
"177075",177072,15000,36,0.0838,472.68,2,77000,7.96,0
"177259",154006,17950,36,0.1091,586.9,3,75000,10.34,0.907
"177913",171100,7000,36,0.0964,224.69,0,19500,21.23,0.48
"178157",177995,14400,36,0.128,483.81,1,36120,8.47,0.935
"178236",178070,12000,36,0.1217,399.55,1,24000,14.5,0.439
"178239",176992,7000,36,0.1186,232.04,4,50400,17.02,0.946
"178977",175577,25000,36,0.0964,802.47,4,75000,17.06,0.121
"179020",178968,9325,36,0.1091,304.9,15,70522.26,18.96,0.432
"179897",179879,25000,36,0.1249,836.23,15,78862,7.99,0.218
"180005",177903,4000,36,0.0775,124.89,2,24000,6,0.121
"180535",180337,3500,36,0.1028,113.4,1,48000,17.65,0.554
"180614",180561,24625,36,0.1407,842.47,8,120000,12.81,0.913
"180675",180658,25000,36,0.1091,817.41,15,73000,22.13,0.045
"180712",170292,12000,36,0.1596,421.65,4,34992,20.82,0.489
"181036",178271,18000,36,0.0933,575.17,0,60000,9.96,0.475
"181590",171765,12000,36,0.1312,405.03,0,105000,18.25,0.538
"181701",181614,5000,36,0.128,167.99,6,25480,18.65,0.723
"182089",182083,21000,36,0.0996,677.22,2,54099,3.77,0.395
"182554",182441,4000,36,0.1154,131.99,0,50952,9.14,0.926
"182589",182527,8800,36,0.0933,281.2,0,25000,0,0
"182845",182839,25000,36,0.0964,802.47,2,48000,9.78,0.127
"183801",179703,15450,36,0.1091,505.16,3,111000,10.86,0.936
"183936",183930,5800,36,0.0743,180.23,1,41300,2.32,0.066
"184296",184146,25000,36,0.0933,798.84,1,1e+05,1.57,0.001
"184562",183619,10000,36,0.0933,319.54,1,36500,19.46,0.066
"184908",184901,1000,36,0.0964,32.1,0,5000,18,0.26
"185352",105254,6000,36,0.0964,192.6,1,18000,2.87,0.293
"185684",185669,22350,36,0.1407,764.64,1,135000,3.66,0.523
"186499",186347,1000,36,0.0712,30.94,0,120000,0.65,0.038
"186572",186568,12000,36,0.0901,381.66,6,100671.39,6.64,0.186
"186652",184693,9000,36,0.1249,301.04,3,60000,4.64,0.344
"186840",186773,20000,36,0.1438,687.25,6,83000,16.05,0.866
"187464",187430,10000,36,0.0964,320.99,0,67000,3.6,0.262
"187671",187665,25000,36,0.147,862.97,0,87000,5.79,0.752
"188937",129893,8000,36,0.0807,250.95,3,54000,10.44,0
"189379",179800,2800,36,0.0743,87.01,1,29376,3.96,0.05
"190811",178126,2000,36,0.0775,62.45,15,24000,2.4,0.558
"190846",190819,25000,36,0.1375,851.41,5,75000,19.78,0.436
"191006",191003,7500,36,0.1059,244.09,0,39975,12.1,0.308
"191730",187320,20000,36,0.1438,687.25,2,42500,15.7,0.963
"192239",191813,20000,36,0.1122,656.86,15,38556,14.04,0.537
"192299",190578,16000,36,0.128,537.57,7,97188,12.43,0.63
"192311",187731,10000,36,0.0964,320.99,0,24960,8.17,0.63
"192616",189776,12000,36,0.0996,386.99,15,1e+05,8.17,0.452
"193452",191101,10000,36,0.0838,315.12,0,107000,2.28,0.652
"193586",193526,9000,36,0.1059,292.91,1,25920,5.56,0.395
"193630",192688,4000,36,0.0807,125.48,4,21600,10.33,0.558
"194565",194314,12000,36,0.0933,383.45,2,68640,7.47,0.416
"194762",194653,15450,36,0.1343,523.78,8,36000,17.4,0.733
"195618",194605,6000,36,0.1217,199.78,15,120000,6.81,0.773
"195655",193651,18000,36,0.0933,575.17,15,102000,16.95,0.082
"196027",196018,3000,36,0.0901,95.42,15,10000,6.72,0.511
"196148",196134,15000,36,0.0901,477.07,15,71000,6.88,0.145
"196380",188466,11000,36,0.0807,345.06,15,62000,14.07,0.217
"196428",189204,4725,36,0.1122,155.19,0,19800,23.03,0.13
"196521",194436,20000,36,0.0996,644.97,2,73992,13.28,0.098
"196559",185681,3000,36,0.0712,92.8,1,60600,1.19,0.04
"196574",188413,9500,36,0.0996,306.36,1,58000,21.93,0.287
"196863",194670,4350,36,0.1154,143.53,6,22000,24.71,0.255
"196910",196900,9000,36,0.0964,288.89,4,112000,10.36,0.855
"197019",197013,2750,36,0.0933,87.88,4,112000,13.46,0.855
"197225",197115,12000,36,0.0901,381.66,3,120000,4.28,0.458
"197360",197348,6000,36,0.1122,197.06,6,49500,0,0
"197558",164764,2675,36,0.0807,83.92,15,40000,16.68,0.483
"197959",197950,15000,36,0.0964,481.48,0,40000,4.05,0.859
"198285",197938,7850,36,0.0996,253.16,3,26000,6.14,0.342
"198952",198937,2500,36,0.0743,77.69,15,522000,2.45,0.094
"199055",197916,3000,36,0.1014,97,3,120000,8.71,0.011
"199486",199451,8000,36,0.1046,259.87,15,120000,11.28,0.806
"199575",199555,4000,36,0.0743,124.3,15,62500,5.82,0.048
"199889",199865,2000,36,0.133,67.68,2,18000,22,0.372
"200256",200251,12000,36,0.133,406.07,2,27000,7.16,0.032
"200600",200597,7500,36,0.0983,241.41,7,96000,2.69,0.474
"200805",200788,5000,36,0.1393,170.72,2,38000,20.72,0.183
"200886",200841,9325,36,0.0838,293.85,1,12000,0,0
"200912",200892,9400,36,0.133,318.09,9,50000,17.04,0.978
"201285",197188,2000,36,0.092,63.79,5,24000,18.65,0.142
"201479",201440,7000,36,0.0743,217.52,0,60000,1.72,0.011
"201909",201801,20000,36,0.1236,667.74,3,133000,13.42,0.927
"202270",202156,4000,36,0.1236,133.55,1,50000,8.66,0.441
"202379",202352,13025,36,0.1014,421.14,1,40000,17.01,0.562
"202406",202401,10000,36,0.1362,339.94,6,49500,1.21,0
"202712",202709,11200,36,0.1078,365.51,0,60000,14.26,0.896
"202720",181632,10000,36,0.0807,313.69,0,24600,9.95,0.217
"203367",203345,25000,36,0.1583,876.83,0,120000,18.08,0.861
"203424",202222,9325,36,0.1362,316.99,4,30000,21.88,0.825
"203532",203522,21000,36,0.1236,701.12,0,48000,0.85,0.136
"203554",202908,15000,36,0.1014,485,8,88296,13.73,0.353
"204428",204314,4000,36,0.1236,133.55,6,39996,9.48,0.284
"204576",204491,11500,36,0.0838,362.39,4,107000,8.16,0.506
"206181",167318,3500,36,0.0712,108.27,0,28800,0,0.075
"206360",206195,7200,36,0.1236,240.39,6,17280,4.58,0
"206839",205197,2000,36,0.0743,62.15,0,67992,9.99,0.054
"207148",207023,2100,36,0.0838,66.18,1,19800,2.36,0.62
"207387",207374,10000,36,0.1109,327.82,0,41500,19.32,0.871
"207910",183496,2225,36,0.0743,69.14,0,120000,7.67,0.295
"208191",202271,9600,36,0.1078,313.3,15,61200,14.06,0.155
"208594",208564,10000,36,0.1141,329.34,2,78504,14.03,0.276
"208728",206444,8775,36,0.1236,292.97,8,45600,15.53,0.442
"208827",207594,10000,36,0.0838,315.12,2,69600,14.03,0.455
"209349",197016,7200,36,0.0807,225.86,15,61200,17,0.407
"209392",209350,2000,36,0.0838,63.03,4,35064,18.96,0.306
"209581",209415,16000,36,0.1267,536.57,3,91200,10.13,0.798
"210194",210137,3800,36,0.1204,126.29,3,63000,12.5,0.802
"210287",210254,6000,36,0.0951,192.23,2,110000,16.87,0.411
"210778",210769,3000,36,0.1014,97,4,48000,0,0
"210784",210596,10000,36,0.092,318.93,1,77250,5.93,0.266
"210884",210855,7000,36,0.1078,228.45,3,36500,7.76,0.657
"211126",211085,2200,36,0.1172,72.78,6,39270,17.2,0.695
"211133",210644,500,36,0.1141,16.47,0,19500,3.69,0.906
"211586",209087,4000,36,0.0775,124.89,1,57600,1.33,0.082
"211723",211606,8000,36,0.1109,262.26,4,72000,5.12,0.951
"211860",211817,7500,36,0.0838,236.34,0,75000,6.06,0.404
"212737",212440,8000,36,0.1204,265.87,1,44684.66,16.06,0.685
"212894",212055,3250,36,0.0775,101.47,4,36000,2.73,0.124
"213020",212984,7000,36,0.0775,218.55,8,49896,10.37,0.094
"213427",213418,1200,36,0.1014,38.8,2,30000,19.76,0
"213551",213530,7500,36,0.1141,247,3,72000,14.65,0.471
"213732",209340,20000,36,0.1299,673.79,1,48000,18.98,0.424
"213846",208394,2450,36,0.1078,79.96,0,38000,14.84,0.338
"214363",190375,15000,36,0.1204,498.51,1,47000,17.95,0.63
"214388",199014,20000,36,0.1488,692.14,15,76000,7.11,0.95
"214572",214566,25000,36,0.0951,800.95,5,65000,2.14,0.143
"214968",204307,9000,36,0.0983,289.69,1,21600,4.83,0.39
"215142",215085,8400,36,0.0838,264.71,0,38100,13.1,0.194
"215531",215518,3500,36,0.1267,117.38,6,48000,13.1,0.507
"215577",215185,9000,36,0.1078,293.72,6,36000,7.93,0.751
"215865",215855,16800,36,0.1267,563.4,3,60000,20.06,0.494
"215897",215882,10000,36,0.092,318.93,2,165000,0.33,0.004
"216013",215970,7200,36,0.0951,230.68,15,32496,15.84,0.333
"216083",216070,21000,36,0.152,730.04,15,75000,21.84,0.727
"216181",216160,10000,36,0.0775,312.22,15,115500,2.89,0
"216508",200052,8000,36,0.0807,250.95,15,60000,9.58,0.137
"216540",213030,15000,36,0.1425,514.49,0,48000,19.05,0.644
"216698",174214,500,36,0.1046,16.25,3,26000,14.17,0.607
"216940",216937,11200,36,0.1204,372.22,0,45000,21.33,0.663
"217041",215591,10000,36,0.0951,320.38,0,55000,7.59,0.204
"217100",217064,13875,36,0.1836,504.13,15,84000,23.04,0.934
"217118",216587,12500,36,0.1172,413.51,0,36000,11.9,0.91
"217723",214389,15000,36,0.1014,485,4,84000,19.86,0.286
"217788",215783,9300,36,0.1172,307.66,3,62000,20.09,0.64
"217987",216798,4000,36,0.1078,130.54,2,32000,0.38,0.386
"218282",216136,11000,36,0.1299,370.59,1,52500,17.94,0.521
"218325",216568,16000,36,0.1299,539.03,2,43000,14.82,0.423
"218331",218047,10000,36,0.0775,312.22,6,24000,0,0.121
"218343",218321,2150,36,0.1078,70.17,15,11029,19.15,0.002
"218680",218656,13500,36,0.1078,440.57,0,37200,12.58,0.33
"219000",218997,5500,36,0.092,175.42,3,37000,16.74,0.486
"219070",219037,6000,36,0.1046,194.91,2,50000,5.06,0.634
"219178",219169,5000,36,0.1172,165.41,1,60000,0,0.064
"219315",219312,12000,36,0.133,406.07,0,45000,4.67,0.381
"219425",219409,2500,36,0.1172,82.71,1,62000,19.29,0.344
"219967",219919,6000,36,0.0838,189.08,0,40500,12.5,0.424
"220023",219944,1850,36,0.0712,57.23,4,35000,11.59,0.19
"220873",220762,10000,36,0.133,338.39,15,120000,6.31,0.893
"221264",221224,15000,36,0.1204,498.51,7,1e+05,15.82,0.888
"221301",220027,22000,36,0.1267,737.78,9,90000,13.04,0.308
"222179",222065,9600,36,0.092,306.18,4,62000,13.12,0.403
"222488",222393,18500,36,0.0951,592.7,6,31000,16.49,0.379
"222492",221919,18900,36,0.1014,611.1,1,44000,9.79,0
"222829",222675,14400,36,0.0951,461.35,15,88068,9.96,0.165
"223015",222752,24000,36,0.1583,841.76,0,75000,15.38,0.773
"223308",223192,7500,36,0.1078,244.76,1,85000,1.78,0.505
"223345",223287,14000,36,0.1014,452.67,0,75000,16.54,0.394
"223626",223476,20000,36,0.1046,649.68,1,115500,16.2,0.421
"223992",223916,7200,36,0.0838,226.89,3,175000,15.11,0.137
"224210",218822,15000,36,0.1204,498.51,3,1e+05,14.32,0.988
"224381",223623,25000,36,0.1615,880.78,6,113000,24.84,0.938
"224541",224356,20000,36,0.1141,658.67,1,57860,10.14,0.7
"224614",224538,7000,36,0.1172,231.57,2,2e+05,15.46,0.951
